Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.11.22_10.08.51,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,9,-94,3947,77,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.52,-8.500517,51.894671,0,A,2,LTE,-117,-13,5,6,-94,2874,54,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.54,-8.500517,51.894671,0,A,2,LTE,-116,-12,4,6,-94,4920,88,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.55,-8.500517,51.894671,0,A,2,LTE,-116,-12,4,6,-94,1711,32,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.56,-8.500517,51.894671,0,A,2,LTE,-121,-14,4,6,-94,1476,28,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.57,-8.500517,51.894671,0,A,2,LTE,-121,-14,4,9,-94,2001,69,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.58,-8.500517,51.894671,0,A,2,LTE,-119,-13,3,9,-94,3780,70,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.59,-8.500517,51.894671,0,A,2,LTE,-119,-13,3,9,-94,2124,43,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.00,-8.500517,51.894671,0,A,2,LTE,-118,-12,5,8,-94,3120,58,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.01,-8.500517,51.894671,0,A,2,LTE,-118,-12,4,8,-94,1722,33,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.03,-8.500517,51.894671,0,A,2,LTE,-115,-12,5,8,-94,2259,68,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.04,-8.500517,51.894671,0,A,2,LTE,-115,-12,5,8,-94,3288,61,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.05,-8.500517,51.894671,0,A,2,LTE,-114,-13,5,7,-94,2661,49,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.06,-8.500517,51.894671,0,A,2,LTE,-114,-13,5,6,-94,3634,67,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.07,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,6,-94,2337,43,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.08,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,6,-94,3567,66,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.09,-8.500517,51.894671,0,A,2,LTE,-118,-13,5,6,-94,2941,55,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.10,-8.500517,51.894671,0,A,2,LTE,-118,-13,5,6,-94,1688,31,D,-,-,-8.491719,51.893905,609.7
